pickup_zone,n_trips,avg_distance,median_fare,avg_tip_ratio
Douglaston,987,8.980516717325228,28.35,0.020559383190441552
Bay Terrace/Fort Totten,956,9.300282426778242,32.54,0.00891280906091565
Inwood Hill Park,864,7.632314814814815,27.675,0.012757779318413877
Newark Airport,845,3.803112426035503,95.0,0.27155714117896823
Van Cortlandt Park,810,8.871802469135803,31.645,0.00735474409663261
Bronx Park,695,7.624604316546763,30.44,0.03047476623767422
Arrochar/Fort Wadsworth,578,149.65217993079582,3.59,0.006483106963745965
Forest Park/Highland Park,572,6.250769230769231,24.845,0.01632438673434071
City Island,534,11.572790262172285,40.185,0.0018246783043345913
Highbridge Park,529,6.112022684310019,24.95,0.020450153028367345
Marine Park/Floyd Bennett Field,427,8.451217798594849,28.46,0.062095624653294754
Pelham Bay Park,411,129.352700729927,32.79,0.01267772243694232
Stapleton,366,9.055710382513661,27.415,0.019085962689019718
Astoria Park,334,5.895029940119761,31.55,0.058285111648091664
Country Club,330,8.62239393939394,30.009999999999998,0.006981190967310553
Willets Point,270,9.696259259259259,39.41,0.04499956253853403
Breezy Point/Fort Tilden/Riis Beach,249,10.193172690763053,38.5,0.02153137110752721
South Beach/Dongan Hills,196,9.070255102040816,25.189999999999998,0.006162769002535151
Grymes Hill/Clifton,186,9.395913978494624,32.129999999999995,0.006918411218237234
Bloomfield/Emerson Hill,170,11.309294117647058,33.86,0.01736969101719359
Crotona Park,153,5.44359477124183,20.55,0.006035582954872355
Heartland Village/Todt Hill,122,11.08204918032787,38.4,0.016778582678191507
Broad Channel,101,7.727722772277228,28.0,0.003989215466931604
New Dorp/Midland Beach,100,10.5802,30.744999999999997,0.04534032117678345
Green-Wood Cemetery,98,6.289897959183673,25.645,0.045205926703093514
Saint George/New Brighton,96,10.623958333333333,32.655,0.029576450695549605
Westerleigh,85,13.492235294117647,44.11,0.01886996454259158
Mariners Harbor,81,13.255432098765432,45.96,0.004508758910701838
West Brighton,70,10.789,30.555,0.007907209612817092
Oakwood,49,10.857142857142858,31.7,0.025521557658746037
Jamaica Bay,36,14.28611111111111,59.0,0.11275269595821315
Great Kills,34,3046.0520588235295,47.28,0.0
Port Richmond,31,21.101290322580645,43.6,0.025494603747256685
Charleston/Tottenville,13,16.81692307692308,50.16,0.025876194811106056
Rossville/Woodrow,9,18.354444444444443,69.84,0.0058823529411764705
Rikers Island,8,11.05,45.35,0.14460300677137392
Eltingville/Annadale/Prince's Bay,6,15.931666666666667,52.705,0.036298377028714114
Governor's Island/Ellis Island/Liberty Island,4,15.075,42.55,0.20776808422622395
Freshkills Park,4,14.557500000000001,37.3,0.06099071207430341
Arden Heights,3,7.366666666666667,24.0,0.017921146953405017
